,maint,doors,persons,lug_boot,safety,class
107,vhigh,5more,more,big,high,unacc
901,vhigh,3,4,small,med,unacc
1709,low,5more,2,big,high,unacc
706,med,4,2,med,med,unacc
678,med,3,2,med,low,unacc
722,med,4,more,small,high,acc
429,low,5more,more,big,low,unacc
679,med,3,2,med,med,unacc
917,vhigh,3,more,big,high,acc
1230,low,3,4,big,low,unacc
128,high,2,more,small,high,unacc
810,low,4,2,small,low,unacc
1106,med,2,more,big,high,vgood
1168,med,5more,2,big,med,unacc
1108,med,3,2,small,med,unacc
973,high,2,2,small,med,unacc
1521,med,2,4,small,low,unacc
881,vhigh,2,4,big,high,acc
591,high,3,more,big,low,unacc
590,high,3,more,med,high,acc
1309,vhigh,2,4,med,med,unacc
1155,med,4,more,med,low,unacc
493,vhigh,4,2,big,med,unacc
1010,high,3,4,small,high,acc
1378,vhigh,5more,2,small,med,unacc
857,low,5more,more,small,high,acc
1280,low,5more,4,small,high,good
1121,med,3,4,med,high,acc
1428,high,2,more,big,low,unacc
819,low,4,4,small,low,unacc
534,vhigh,5more,more,med,low,unacc
701,med,3,more,big,high,acc
1652,low,3,2,med,high,unacc
226,med,2,4,small,med,unacc
231,med,2,4,big,low,unacc
693,med,3,more,small,low,unacc
1471,high,4,4,med,med,acc
543,high,2,2,med,low,unacc
163,high,4,2,small,med,unacc
842,low,5more,2,med,high,unacc
609,high,4,4,big,low,unacc
266,med,3,more,med,high,acc
148,high,3,4,med,med,unacc
439,vhigh,2,2,big,med,unacc
806,low,3,more,med,high,acc
1678,low,4,2,med,med,unacc
637,high,5more,4,big,med,acc
1362,vhigh,4,4,med,low,unacc
306,med,5more,4,small,low,unacc
192,high,5more,2,med,low,unacc
1425,high,2,more,med,low,unacc
309,med,5more,4,med,low,unacc
1561,med,3,more,med,med,good
63,vhigh,4,4,small,low,unacc
926,vhigh,4,2,big,high,unacc
1719,low,5more,more,small,low,unacc
1503,high,5more,more,small,low,unacc
1134,med,4,2,small,low,unacc
936,vhigh,4,more,small,low,unacc
1043,high,4,4,big,high,acc
598,high,4,2,med,med,unacc
1188,low,2,2,small,low,unacc
1295,low,5more,more,big,high,vgood
1179,med,5more,more,small,low,unacc
997,high,2,more,big,med,acc
218,med,2,2,small,high,unacc
631,high,5more,4,small,med,unacc
286,med,4,4,big,med,acc
583,high,3,4,big,med,acc
1392,vhigh,5more,4,big,low,unacc
1718,low,5more,4,big,high,vgood
361,low,3,4,small,med,unacc
593,high,3,more,big,high,acc
535,vhigh,5more,more,med,med,unacc
1604,med,5more,4,small,high,good
613,high,4,more,small,med,unacc
1417,high,2,4,med,med,acc
1322,vhigh,2,more,big,high,acc
1374,vhigh,4,more,big,low,unacc
817,low,4,2,big,med,unacc
1424,high,2,more,small,high,unacc
1246,low,4,2,med,med,unacc
619,high,4,more,big,med,acc
1074,high,5more,more,med,low,unacc
1235,low,3,more,small,high,good
538,vhigh,5more,more,big,med,unacc
1036,high,4,4,small,med,unacc
757,low,2,2,small,med,unacc
589,high,3,more,med,med,acc
907,vhigh,3,4,big,med,acc
1159,med,4,more,big,med,acc
1684,low,4,4,small,med,acc
1054,high,5more,2,small,med,unacc
611,high,4,4,big,high,acc
1242,low,4,2,small,low,unacc
772,low,2,4,big,med,acc
1140,med,4,2,big,low,unacc
277,med,4,2,big,med,unacc
1336,vhigh,3,4,med,med,unacc
1591,med,4,more,big,med,good
358,low,3,2,big,med,unacc
1472,high,4,4,med,high,vgood
236,med,2,more,small,high,unacc
781,low,2,more,big,med,acc
1435,high,3,2,med,med,unacc
1664,low,3,4,big,high,vgood
1110,med,3,2,med,low,unacc
1553,med,3,4,med,high,good
1281,low,5more,4,med,low,unacc
208,high,5more,more,small,med,unacc
1047,high,4,more,med,low,unacc
1470,high,4,4,med,low,unacc
1509,high,5more,more,big,low,unacc
58,vhigh,4,2,med,med,unacc
1221,low,3,2,big,low,unacc
1536,med,2,more,big,low,unacc
596,high,4,2,small,high,unacc
1524,med,2,4,med,low,unacc
1365,vhigh,4,4,big,low,unacc
363,low,3,4,med,low,unacc
567,high,3,2,small,low,unacc
354,low,3,2,med,low,unacc
427,low,5more,more,med,med,acc
1723,low,5more,more,med,med,good
1387,vhigh,5more,4,small,med,unacc
1568,med,4,2,small,high,unacc
963,vhigh,5more,more,small,low,unacc
1058,high,5more,2,med,high,unacc
1041,high,4,4,big,low,unacc
292,med,4,more,med,med,acc
1030,high,4,2,med,med,unacc
1324,vhigh,3,2,small,med,unacc
1580,med,4,4,med,high,vgood
118,high,2,4,small,med,unacc
1087,med,2,2,big,med,unacc
921,vhigh,4,2,med,low,unacc
588,high,3,more,med,low,unacc
233,med,2,4,big,high,acc
1114,med,3,2,big,med,unacc
1429,high,2,more,big,med,acc
196,high,5more,2,big,med,unacc
1455,high,3,more,big,low,unacc
1566,med,4,2,small,low,unacc
1443,high,3,4,med,low,unacc
81,vhigh,5more,2,small,low,unacc
1617,med,5more,more,big,low,unacc
1544,med,3,2,med,high,unacc
1326,vhigh,3,2,med,low,unacc
914,vhigh,3,more,med,high,acc
380,low,4,2,small,high,unacc
111,high,2,2,med,low,unacc
1487,high,5more,2,small,high,unacc
84,vhigh,5more,2,med,low,unacc
1452,high,3,more,med,low,unacc
985,high,2,4,med,med,unacc
1449,high,3,more,small,low,unacc
952,vhigh,5more,2,big,med,unacc
1691,low,4,4,big,high,vgood
930,vhigh,4,4,med,low,unacc
1236,low,3,more,med,low,unacc
310,med,5more,4,med,med,acc
778,low,2,more,med,med,unacc
1494,high,5more,4,small,low,unacc
938,vhigh,4,more,small,high,acc
1317,vhigh,2,more,med,low,unacc
705,med,4,2,med,low,unacc
670,med,2,more,med,med,unacc
451,vhigh,2,more,small,med,unacc
490,vhigh,4,2,med,med,unacc
1277,low,5more,2,big,high,unacc
287,med,4,4,big,high,acc
1639,low,2,more,small,med,unacc
1714,low,5more,4,med,med,good
1178,med,5more,4,big,high,vgood
585,high,3,more,small,low,unacc
1552,med,3,4,med,med,acc
1169,med,5more,2,big,high,unacc
1033,high,4,2,big,med,unacc
888,vhigh,2,more,big,low,unacc
1001,high,3,2,small,high,unacc
327,low,2,2,med,low,unacc
879,vhigh,2,4,big,low,unacc
1217,low,3,2,small,high,unacc
1415,high,2,4,small,high,acc
1541,med,3,2,small,high,unacc
674,med,2,more,big,high,acc
177,high,4,4,big,low,unacc
601,high,4,2,big,med,unacc
1073,high,5more,more,small,high,acc
86,vhigh,5more,2,med,high,unacc
1310,vhigh,2,4,med,high,acc
1635,low,2,4,big,low,unacc
457,vhigh,2,more,big,med,unacc
54,vhigh,4,2,small,low,unacc
1668,low,3,more,med,low,unacc
221,med,2,2,med,high,unacc
113,high,2,2,med,high,unacc
939,vhigh,4,more,med,low,unacc
1068,high,5more,4,big,low,unacc
765,low,2,4,small,low,unacc
174,high,4,4,med,low,unacc
1080,med,2,2,small,low,unacc
1348,vhigh,3,more,big,med,acc
18,vhigh,2,more,small,low,unacc
423,low,5more,more,small,low,unacc
1156,med,4,more,med,med,acc
285,med,4,4,big,low,unacc
1370,vhigh,4,more,small,high,acc
428,low,5more,more,med,high,acc
1305,vhigh,2,4,small,low,unacc
575,high,3,2,big,high,unacc
31,vhigh,3,2,med,med,unacc
721,med,4,more,small,med,unacc
1240,low,3,more,big,med,good
214,high,5more,more,big,med,unacc
1052,high,4,more,big,high,acc
326,low,2,2,small,high,unacc
560,high,2,more,small,high,unacc
1353,vhigh,4,2,med,low,unacc
1602,med,5more,4,small,low,unacc
1034,high,4,2,big,high,unacc
341,low,2,4,big,high,acc
147,high,3,4,med,low,unacc
360,low,3,4,small,low,unacc
83,vhigh,5more,2,small,high,unacc
48,vhigh,3,more,med,low,unacc
468,vhigh,3,4,small,low,unacc
155,high,3,more,small,high,unacc
1721,low,5more,more,small,high,good
1208,low,2,more,small,high,unacc
1046,high,4,more,small,high,acc
1506,high,5more,more,med,low,unacc
500,vhigh,4,4,med,high,unacc
179,high,4,4,big,high,unacc
1061,high,5more,2,big,high,unacc
614,high,4,more,small,high,acc
1009,high,3,4,small,med,unacc
528,vhigh,5more,4,big,low,unacc
346,low,2,more,med,med,unacc
1373,vhigh,4,more,med,high,acc
1689,low,4,4,big,low,unacc
668,med,2,more,small,high,unacc
862,low,5more,more,big,med,acc
946,vhigh,5more,2,small,med,unacc
832,low,4,more,med,med,acc
243,med,3,2,small,low,unacc
1681,low,4,2,big,med,unacc
1273,low,5more,2,med,med,unacc
312,med,5more,4,big,low,unacc
435,vhigh,2,2,med,low,unacc
1634,low,2,4,med,high,good
1023,high,3,more,big,low,unacc
308,med,5more,4,small,high,acc
430,low,5more,more,big,med,acc
370,low,3,more,small,med,unacc
566,high,2,more,big,high,acc
1554,med,3,4,big,low,unacc
181,high,4,more,small,med,unacc
1107,med,3,2,small,low,unacc
629,high,5more,2,big,high,unacc
906,vhigh,3,4,big,low,unacc
1647,low,3,2,small,low,unacc
296,med,4,more,big,high,acc
694,med,3,more,small,med,unacc
461,vhigh,3,2,small,high,unacc
1695,low,4,more,med,low,unacc
915,vhigh,3,more,big,low,unacc
377,low,3,more,big,high,acc
910,vhigh,3,more,small,med,unacc
1341,vhigh,3,more,small,low,unacc
126,high,2,more,small,low,unacc
1067,high,5more,4,med,high,acc
1576,med,4,4,small,med,acc
355,low,3,2,med,med,unacc
1399,vhigh,5more,more,med,med,acc
792,low,3,4,small,low,unacc
209,high,5more,more,small,high,unacc
680,med,3,2,med,high,unacc
140,high,3,2,med,high,unacc
1717,low,5more,4,big,med,good
1608,med,5more,4,big,low,unacc
987,high,2,4,big,low,unacc
1539,med,3,2,small,low,unacc
900,vhigh,3,4,small,low,unacc
1530,med,2,more,small,low,unacc
1253,low,4,4,small,high,good
1284,low,5more,4,big,low,unacc
1357,vhigh,4,2,big,med,unacc
10,vhigh,2,4,small,med,unacc
948,vhigh,5more,2,med,low,unacc
282,med,4,4,med,low,unacc
291,med,4,more,med,low,unacc
626,high,5more,2,med,high,unacc
754,med,5more,more,big,med,acc
1467,high,4,4,small,low,unacc
129,high,2,more,med,low,unacc
323,med,5more,more,big,high,acc
1565,med,3,more,big,high,vgood
1672,low,3,more,big,med,good
1690,low,4,4,big,med,good
786,low,3,2,med,low,unacc
669,med,2,more,med,low,unacc
922,vhigh,4,2,med,med,unacc
820,low,4,4,small,med,unacc
158,high,3,more,med,high,unacc
755,med,5more,more,big,high,acc
634,high,5more,4,med,med,acc
516,vhigh,5more,2,med,low,unacc
1231,low,3,4,big,med,good
597,high,4,2,med,low,unacc
195,high,5more,2,big,low,unacc
1422,high,2,more,small,low,unacc
1079,high,5more,more,big,high,acc
410,low,5more,2,med,high,unacc
96,vhigh,5more,4,big,low,unacc
1298,vhigh,2,2,small,high,unacc
1202,low,2,4,med,high,good
156,high,3,more,med,low,unacc
419,low,5more,4,med,high,acc
905,vhigh,3,4,med,high,acc
477,vhigh,3,more,small,low,unacc
1595,med,5more,2,small,high,unacc
816,low,4,2,big,low,unacc
845,low,5more,2,big,high,unacc
1125,med,3,more,small,low,unacc
447,vhigh,2,4,big,low,unacc
1315,vhigh,2,more,small,med,unacc
178,high,4,4,big,med,unacc
390,low,4,4,med,low,unacc
578,high,3,4,small,high,acc
1022,high,3,more,med,high,acc
1654,low,3,2,big,med,unacc
839,low,5more,2,small,high,unacc
1423,high,2,more,small,med,unacc
692,med,3,4,big,high,acc
893,vhigh,3,2,small,high,unacc
1113,med,3,2,big,low,unacc
1676,low,4,2,small,high,unacc
664,med,2,4,big,med,acc
142,high,3,2,big,med,unacc
1343,vhigh,3,more,small,high,acc
1232,low,3,4,big,high,vgood
1477,high,4,more,small,med,acc
636,high,5more,4,big,low,unacc
1211,low,2,more,med,high,good
859,low,5more,more,med,med,acc
615,high,4,more,med,low,unacc
294,med,4,more,big,low,unacc
712,med,4,4,small,med,unacc
1720,low,5more,more,small,med,acc
88,vhigh,5more,2,big,med,unacc
41,vhigh,3,4,med,high,unacc
1666,low,3,more,small,med,acc
131,high,2,more,med,high,unacc
767,low,2,4,small,high,acc
756,low,2,2,small,low,unacc
864,vhigh,2,2,small,low,unacc
1598,med,5more,2,med,high,unacc
1132,med,3,more,big,med,acc
164,high,4,2,small,high,unacc
290,med,4,more,small,high,acc
1632,low,2,4,med,low,unacc
780,low,2,more,big,low,unacc
348,low,2,more,big,low,unacc
571,high,3,2,med,med,unacc
745,med,5more,4,big,med,acc
1625,low,2,2,med,high,unacc
904,vhigh,3,4,med,med,unacc
1377,vhigh,5more,2,small,low,unacc
1137,med,4,2,med,low,unacc
785,low,3,2,small,high,unacc
458,vhigh,2,more,big,high,unacc
375,low,3,more,big,low,unacc
333,low,2,4,small,low,unacc
1000,high,3,2,small,med,unacc
1519,med,2,2,big,med,unacc
1517,med,2,2,med,high,unacc
932,vhigh,4,4,med,high,acc
1706,low,5more,2,med,high,unacc
1600,med,5more,2,big,med,unacc
744,med,5more,4,big,low,unacc
328,low,2,2,med,med,unacc
809,low,3,more,big,high,acc
318,med,5more,more,med,low,unacc
1323,vhigh,3,2,small,low,unacc
1170,med,5more,4,small,low,unacc
1686,low,4,4,med,low,unacc
167,high,4,2,med,high,unacc
12,vhigh,2,4,med,low,unacc
171,high,4,4,small,low,unacc
649,med,2,2,small,med,unacc
260,med,3,4,big,high,acc
1055,high,5more,2,small,high,unacc
1214,low,2,more,big,high,vgood
672,med,2,more,big,low,unacc
258,med,3,4,big,low,unacc
1222,low,3,2,big,med,unacc
138,high,3,2,med,low,unacc
549,high,2,4,small,low,unacc
1100,med,2,more,small,high,unacc
1320,vhigh,2,more,big,low,unacc
1075,high,5more,more,med,med,acc
1026,high,4,2,small,low,unacc
558,high,2,more,small,low,unacc
139,high,3,2,med,med,unacc
1501,high,5more,4,big,med,acc
531,vhigh,5more,more,small,low,unacc
224,med,2,2,big,high,unacc
723,med,4,more,med,low,unacc
1006,high,3,2,big,med,unacc
409,low,5more,2,med,med,unacc
325,low,2,2,small,med,unacc
903,vhigh,3,4,med,low,unacc
299,med,5more,2,small,high,unacc
1722,low,5more,more,med,low,unacc
1605,med,5more,4,med,low,unacc
1380,vhigh,5more,2,med,low,unacc
1601,med,5more,2,big,high,unacc
714,med,4,4,med,low,unacc
193,high,5more,2,med,med,unacc
440,vhigh,2,2,big,high,unacc
573,high,3,2,big,low,unacc
503,vhigh,4,4,big,high,unacc
605,high,4,4,small,high,acc
1007,high,3,2,big,high,unacc
1542,med,3,2,med,low,unacc
3,vhigh,2,2,med,low,unacc
984,high,2,4,med,low,unacc
1614,med,5more,more,med,low,unacc
467,vhigh,3,2,big,high,unacc
321,med,5more,more,big,low,unacc
5,vhigh,2,2,med,high,unacc
222,med,2,2,big,low,unacc
547,high,2,2,big,med,unacc
988,high,2,4,big,med,acc
39,vhigh,3,4,med,low,unacc
542,high,2,2,small,high,unacc
242,med,2,more,big,high,acc
962,vhigh,5more,4,big,high,acc
136,high,3,2,small,med,unacc
1704,low,5more,2,med,low,unacc
1361,vhigh,4,4,small,high,acc
1272,low,5more,2,med,low,unacc
1196,low,2,2,big,high,unacc
886,vhigh,2,more,med,med,unacc
1223,low,3,2,big,high,unacc
993,high,2,more,med,low,unacc
1573,med,4,2,big,med,unacc
581,high,3,4,med,high,acc
1523,med,2,4,small,high,good
1698,low,4,more,big,low,unacc
661,med,2,4,med,med,unacc
436,vhigh,2,2,med,med,unacc
1599,med,5more,2,big,low,unacc
376,low,3,more,big,med,acc
1274,low,5more,2,med,high,unacc
314,med,5more,4,big,high,acc
442,vhigh,2,4,small,med,unacc
978,high,2,2,big,low,unacc
319,med,5more,more,med,med,acc
281,med,4,4,small,high,acc
873,vhigh,2,4,small,low,unacc
1085,med,2,2,med,high,unacc
1299,vhigh,2,2,med,low,unacc
424,low,5more,more,small,med,unacc
553,high,2,4,med,med,unacc
594,high,4,2,small,low,unacc
1692,low,4,more,small,low,unacc
368,low,3,4,big,high,acc
1335,vhigh,3,4,med,low,unacc
1497,high,5more,4,med,low,unacc
1445,high,3,4,med,high,acc
1514,med,2,2,small,high,unacc
1643,low,2,more,med,high,good
227,med,2,4,small,high,acc
937,vhigh,4,more,small,med,unacc
1151,med,4,4,big,high,vgood
1146,med,4,4,med,low,unacc
1441,high,3,4,small,med,acc
66,vhigh,4,4,med,low,unacc
393,low,4,4,big,low,unacc
579,high,3,4,med,low,unacc
24,vhigh,2,more,big,low,unacc
211,high,5more,more,med,med,unacc
1329,vhigh,3,2,big,low,unacc
144,high,3,4,small,low,unacc
536,vhigh,5more,more,med,high,unacc
811,low,4,2,small,med,unacc
942,vhigh,4,more,big,low,unacc
1120,med,3,4,med,med,acc
85,vhigh,5more,2,med,med,unacc
1555,med,3,4,big,med,good
272,med,4,2,small,high,unacc
1116,med,3,4,small,low,unacc
1029,high,4,2,med,low,unacc
865,vhigh,2,2,small,med,unacc
1557,med,3,more,small,low,unacc
630,high,5more,4,small,low,unacc
1703,low,5more,2,small,high,unacc
1612,med,5more,more,small,med,acc
1182,med,5more,more,med,low,unacc
1613,med,5more,more,small,high,good
505,vhigh,4,more,small,med,unacc
273,med,4,2,med,low,unacc
950,vhigh,5more,2,med,high,unacc
1138,med,4,2,med,med,unacc
362,low,3,4,small,high,acc
1395,vhigh,5more,more,small,low,unacc
622,high,5more,2,small,med,unacc
2,vhigh,2,2,small,high,unacc
6,vhigh,2,2,big,low,unacc
311,med,5more,4,med,high,acc
1167,med,5more,2,big,low,unacc
867,vhigh,2,2,med,low,unacc
665,med,2,4,big,high,acc
364,low,3,4,med,med,unacc
1701,low,5more,2,small,low,unacc
215,high,5more,more,big,high,unacc
1659,low,3,4,med,low,unacc
27,vhigh,3,2,small,low,unacc
1237,low,3,more,med,med,good
525,vhigh,5more,4,med,low,unacc
1581,med,4,4,big,low,unacc
887,vhigh,2,more,med,high,acc
638,high,5more,4,big,high,acc
1289,low,5more,more,small,high,good
718,med,4,4,big,med,acc
691,med,3,4,big,med,acc
1355,vhigh,4,2,med,high,unacc
1173,med,5more,4,med,low,unacc
624,high,5more,2,med,low,unacc
7,vhigh,2,2,big,med,unacc
256,med,3,4,med,med,unacc
803,low,3,more,small,high,acc
25,vhigh,2,more,big,med,unacc
336,low,2,4,med,low,unacc
572,high,3,2,med,high,unacc
47,vhigh,3,more,small,high,unacc
1276,low,5more,2,big,med,unacc
106,vhigh,5more,more,big,med,unacc
349,low,2,more,big,med,acc
55,vhigh,4,2,small,med,unacc
238,med,2,more,med,med,unacc
213,high,5more,more,big,low,unacc
120,high,2,4,med,low,unacc
1089,med,2,4,small,low,unacc
1688,low,4,4,med,high,vgood
793,low,3,4,small,med,unacc
72,vhigh,4,more,small,low,unacc
812,low,4,2,small,high,unacc
1491,high,5more,2,big,low,unacc
77,vhigh,4,more,med,high,unacc
1271,low,5more,2,small,high,unacc
45,vhigh,3,more,small,low,unacc
1447,high,3,4,big,med,acc
523,vhigh,5more,4,small,med,unacc
232,med,2,4,big,med,acc
644,high,5more,more,med,high,acc
1677,low,4,2,med,low,unacc
1303,vhigh,2,2,big,med,unacc
1037,high,4,4,small,high,acc
533,vhigh,5more,more,small,high,unacc
1421,high,2,4,big,high,vgood
1304,vhigh,2,2,big,high,unacc
603,high,4,4,small,low,unacc
465,vhigh,3,2,big,low,unacc
1630,low,2,4,small,med,acc
788,low,3,2,med,high,unacc
1464,high,4,2,big,low,unacc
1645,low,2,more,big,med,good
1128,med,3,more,med,low,unacc
60,vhigh,4,2,big,low,unacc
1096,med,2,4,big,med,acc
92,vhigh,5more,4,small,high,unacc
666,med,2,more,small,low,unacc
923,vhigh,4,2,med,high,unacc
1460,high,4,2,small,high,unacc
194,high,5more,2,med,high,unacc
280,med,4,4,small,med,unacc
695,med,3,more,small,high,acc
1209,low,2,more,med,low,unacc
359,low,3,2,big,high,unacc
1259,low,4,4,big,high,vgood
519,vhigh,5more,2,big,low,unacc
1239,low,3,more,big,low,unacc
1049,high,4,more,med,high,acc
1436,high,3,2,med,high,unacc
847,low,5more,4,small,med,unacc
182,high,4,more,small,high,unacc
1177,med,5more,4,big,med,acc
1187,med,5more,more,big,high,vgood
110,high,2,2,small,high,unacc
1551,med,3,4,med,low,unacc
1063,high,5more,4,small,med,unacc
42,vhigh,3,4,big,low,unacc
746,med,5more,4,big,high,acc
125,high,2,4,big,high,unacc
204,high,5more,4,big,low,unacc
1401,vhigh,5more,more,big,low,unacc
52,vhigh,3,more,big,med,unacc
1673,low,3,more,big,high,vgood
545,high,2,2,med,high,unacc
68,vhigh,4,4,med,high,unacc
1376,vhigh,4,more,big,high,acc
507,vhigh,4,more,med,low,unacc
1338,vhigh,3,4,big,low,unacc
329,low,2,2,med,high,unacc
994,high,2,more,med,med,unacc
183,high,4,more,med,low,unacc
137,high,3,2,small,high,unacc
899,vhigh,3,2,big,high,unacc
796,low,3,4,med,med,unacc
132,high,2,more,big,low,unacc
80,vhigh,4,more,big,high,unacc
1391,vhigh,5more,4,med,high,acc
105,vhigh,5more,more,big,low,unacc
1333,vhigh,3,4,small,med,unacc
541,high,2,2,small,med,unacc
1526,med,2,4,med,high,good
480,vhigh,3,more,med,low,unacc
165,high,4,2,med,low,unacc
248,med,3,2,med,high,unacc
307,med,5more,4,small,med,unacc
446,vhigh,2,4,med,high,unacc
983,high,2,4,small,high,acc
858,low,5more,more,med,low,unacc
334,low,2,4,small,med,unacc
1053,high,5more,2,small,low,unacc
849,low,5more,4,med,low,unacc
97,vhigh,5more,4,big,med,unacc
1004,high,3,2,med,high,unacc
1702,low,5more,2,small,med,unacc
737,med,5more,2,big,high,unacc
1090,med,2,4,small,med,acc
1258,low,4,4,big,med,good
421,low,5more,4,big,med,acc
102,vhigh,5more,more,med,low,unacc
434,vhigh,2,2,small,high,unacc
74,vhigh,4,more,small,high,unacc
1546,med,3,2,big,med,unacc
909,vhigh,3,more,small,low,unacc
1713,low,5more,4,med,low,unacc
228,med,2,4,med,low,unacc
1567,med,4,2,small,med,unacc
918,vhigh,4,2,small,low,unacc
302,med,5more,2,med,high,unacc
1715,low,5more,4,med,high,vgood
1446,high,3,4,big,low,unacc
1403,vhigh,5more,more,big,high,acc
824,low,4,4,med,high,acc
762,low,2,2,big,low,unacc
733,med,5more,2,med,med,unacc
989,high,2,4,big,high,acc
388,low,4,4,small,med,unacc
235,med,2,more,small,med,unacc
1427,high,2,more,med,high,acc
1636,low,2,4,big,med,good
267,med,3,more,big,low,unacc
305,med,5more,2,big,high,unacc
1149,med,4,4,big,low,unacc
1505,high,5more,more,small,high,acc
117,high,2,4,small,low,unacc
1656,low,3,4,small,low,unacc
673,med,2,more,big,med,acc
249,med,3,2,big,low,unacc
1252,low,4,4,small,med,acc
1234,low,3,more,small,med,acc
71,vhigh,4,4,big,high,unacc
94,vhigh,5more,4,med,med,unacc
1105,med,2,more,big,med,acc
33,vhigh,3,2,big,low,unacc
799,low,3,4,big,med,acc
1262,low,4,more,small,high,good
1444,high,3,4,med,med,acc
448,vhigh,2,4,big,med,unacc
445,vhigh,2,4,med,med,unacc
771,low,2,4,big,low,unacc
716,med,4,4,med,high,acc
1420,high,2,4,big,med,acc
1312,vhigh,2,4,big,med,acc
0,vhigh,2,2,small,low,unacc
1185,med,5more,more,big,low,unacc
82,vhigh,5more,2,small,med,unacc
1117,med,3,4,small,med,acc
676,med,3,2,small,med,unacc
1251,low,4,4,small,low,unacc
770,low,2,4,med,high,acc
1057,high,5more,2,med,med,unacc
1111,med,3,2,med,med,unacc
1368,vhigh,4,more,small,low,unacc
