,maint,doors,persons,lug_boot,safety,class
1285,low,5more,4,big,med,good
404,low,4,more,big,high,acc
1597,med,5more,2,med,med,unacc
1124,med,3,4,big,high,vgood
104,vhigh,5more,more,med,high,unacc
688,med,3,4,med,med,unacc
1351,vhigh,4,2,small,med,unacc
826,low,4,4,big,med,acc
62,vhigh,4,2,big,high,unacc
852,low,5more,4,big,low,unacc
1165,med,5more,2,med,med,unacc
223,med,2,2,big,med,unacc
145,high,3,4,small,med,unacc
373,low,3,more,med,med,acc
1473,high,4,4,big,low,unacc
1575,med,4,4,small,low,unacc
1290,low,5more,more,med,low,unacc
1385,vhigh,5more,2,big,high,unacc
1102,med,2,more,med,med,acc
9,vhigh,2,4,small,low,unacc
449,vhigh,2,4,big,high,unacc
708,med,4,2,big,low,unacc
255,med,3,4,med,low,unacc
882,vhigh,2,more,small,low,unacc
389,low,4,4,small,high,acc
908,vhigh,3,4,big,high,acc
924,vhigh,4,2,big,low,unacc
1476,high,4,more,small,low,unacc
1375,vhigh,4,more,big,med,acc
460,vhigh,3,2,small,med,unacc
1101,med,2,more,med,low,unacc
958,vhigh,5more,4,med,med,acc
501,vhigh,4,4,big,low,unacc
739,med,5more,4,small,med,unacc
1594,med,5more,2,small,med,unacc
868,vhigh,2,2,med,med,unacc
731,med,5more,2,small,high,unacc
539,vhigh,5more,more,big,high,unacc
697,med,3,more,med,med,acc
1200,low,2,4,med,low,unacc
1412,high,2,2,big,high,unacc
1031,high,4,2,med,high,unacc
372,low,3,more,med,low,unacc
667,med,2,more,small,med,unacc
1319,vhigh,2,more,med,high,acc
357,low,3,2,big,low,unacc
967,vhigh,5more,more,med,med,acc
783,low,3,2,small,low,unacc
735,med,5more,2,big,low,unacc
1035,high,4,4,small,low,unacc
970,vhigh,5more,more,big,med,acc
1318,vhigh,2,more,med,med,unacc
1283,low,5more,4,med,high,vgood
1287,low,5more,more,small,low,unacc
1466,high,4,2,big,high,unacc
1486,high,5more,2,small,med,unacc
885,vhigh,2,more,med,low,unacc
79,vhigh,4,more,big,med,unacc
814,low,4,2,med,med,unacc
1316,vhigh,2,more,small,high,unacc
671,med,2,more,med,high,acc
1325,vhigh,3,2,small,high,unacc
57,vhigh,4,2,med,low,unacc
133,high,2,more,big,med,unacc
933,vhigh,4,4,big,low,unacc
1458,high,4,2,small,low,unacc
823,low,4,4,med,med,acc
504,vhigh,4,more,small,low,unacc
1533,med,2,more,med,low,unacc
347,low,2,more,med,high,acc
386,low,4,2,big,high,unacc
1024,high,3,more,big,med,acc
894,vhigh,3,2,med,low,unacc
828,low,4,more,small,low,unacc
1629,low,2,4,small,low,unacc
475,vhigh,3,4,big,med,unacc
1269,low,5more,2,small,low,unacc
1204,low,2,4,big,med,good
652,med,2,2,med,med,unacc
172,high,4,4,small,med,unacc
38,vhigh,3,4,small,high,unacc
713,med,4,4,small,high,acc
90,vhigh,5more,4,small,low,unacc
1669,low,3,more,med,med,good
875,vhigh,2,4,small,high,acc
1163,med,5more,2,small,high,unacc
1093,med,2,4,med,med,acc
1174,med,5more,4,med,med,acc
1710,low,5more,4,small,low,unacc
499,vhigh,4,4,med,med,unacc
338,low,2,4,med,high,acc
28,vhigh,3,2,small,med,unacc
1142,med,4,2,big,high,unacc
1569,med,4,2,med,low,unacc
945,vhigh,5more,2,small,low,unacc
169,high,4,2,big,med,unacc
912,vhigh,3,more,med,low,unacc
491,vhigh,4,2,med,high,unacc
953,vhigh,5more,2,big,high,unacc
1097,med,2,4,big,high,vgood
1032,high,4,2,big,low,unacc
587,high,3,more,small,high,acc
750,med,5more,more,med,low,unacc
657,med,2,4,small,low,unacc
234,med,2,more,small,low,unacc
732,med,5more,2,med,low,unacc
1268,low,4,more,big,high,vgood
1531,med,2,more,small,med,unacc
934,vhigh,4,4,big,med,acc
1065,high,5more,4,med,low,unacc
108,high,2,2,small,low,unacc
1334,vhigh,3,4,small,high,acc
568,high,3,2,small,med,unacc
890,vhigh,2,more,big,high,acc
947,vhigh,5more,2,small,high,unacc
1048,high,4,more,med,med,acc
1164,med,5more,2,med,low,unacc
1181,med,5more,more,small,high,acc
1247,low,4,2,med,high,unacc
884,vhigh,2,more,small,high,unacc
1448,high,3,4,big,high,vgood
850,low,5more,4,med,med,acc
734,med,5more,2,med,high,unacc
717,med,4,4,big,low,unacc
454,vhigh,2,more,med,med,unacc
264,med,3,more,med,low,unacc
75,vhigh,4,more,med,low,unacc
444,vhigh,2,4,med,low,unacc
395,low,4,4,big,high,acc
176,high,4,4,med,high,unacc
1042,high,4,4,big,med,acc
1502,high,5more,4,big,high,vgood
1577,med,4,4,small,high,good
1189,low,2,2,small,med,unacc
595,high,4,2,small,med,unacc
61,vhigh,4,2,big,med,unacc
872,vhigh,2,2,big,high,unacc
1286,low,5more,4,big,high,vgood
1619,med,5more,more,big,high,vgood
278,med,4,2,big,high,unacc
36,vhigh,3,4,small,low,unacc
662,med,2,4,med,high,acc
1558,med,3,more,small,med,acc
1245,low,4,2,med,low,unacc
977,high,2,2,med,high,unacc
1360,vhigh,4,4,small,med,unacc
738,med,5more,4,small,low,unacc
191,high,5more,2,small,high,unacc
919,vhigh,4,2,small,med,unacc
456,vhigh,2,more,big,low,unacc
675,med,3,2,small,low,unacc
760,low,2,2,med,med,unacc
1559,med,3,more,small,high,good
728,med,4,more,big,high,acc
412,low,5more,2,big,med,unacc
1098,med,2,more,small,low,unacc
825,low,4,4,big,low,unacc
616,high,4,more,med,med,acc
114,high,2,2,big,low,unacc
417,low,5more,4,med,low,unacc
1644,low,2,more,big,low,unacc
969,vhigh,5more,more,big,low,unacc
604,high,4,4,small,med,unacc
1651,low,3,2,med,med,unacc
89,vhigh,5more,2,big,high,unacc
848,low,5more,4,small,high,acc
1314,vhigh,2,more,small,low,unacc
1650,low,3,2,med,low,unacc
753,med,5more,more,big,low,unacc
498,vhigh,4,4,med,low,unacc
11,vhigh,2,4,small,high,unacc
396,low,4,more,small,low,unacc
284,med,4,4,med,high,acc
1066,high,5more,4,med,med,acc
1191,low,2,2,med,low,unacc
690,med,3,4,big,low,unacc
1646,low,2,more,big,high,vgood
1616,med,5more,more,med,high,vgood
689,med,3,4,med,high,acc
851,low,5more,4,med,high,acc
159,high,3,more,big,low,unacc
895,vhigh,3,2,med,med,unacc
1364,vhigh,4,4,med,high,acc
257,med,3,4,med,high,acc
335,low,2,4,small,high,acc
1620,low,2,2,small,low,unacc
1039,high,4,4,med,med,acc
515,vhigh,5more,2,small,high,unacc
1015,high,3,4,big,med,acc
768,low,2,4,med,low,unacc
1510,high,5more,more,big,med,acc
761,low,2,2,med,high,unacc
1203,low,2,4,big,low,unacc
1548,med,3,4,small,low,unacc
1712,low,5more,4,small,high,good
521,vhigh,5more,2,big,high,unacc
22,vhigh,2,more,med,med,unacc
356,low,3,2,med,high,unacc
1457,high,3,more,big,high,vgood
340,low,2,4,big,med,acc
431,low,5more,more,big,high,acc
473,vhigh,3,4,med,high,unacc
217,med,2,2,small,med,unacc
911,vhigh,3,more,small,high,acc
1227,low,3,4,med,low,unacc
1381,vhigh,5more,2,med,med,unacc
1011,high,3,4,med,low,unacc
1680,low,4,2,big,low,unacc
93,vhigh,5more,4,med,low,unacc
1008,high,3,4,small,low,unacc
1070,high,5more,4,big,high,acc
1092,med,2,4,med,low,unacc
1468,high,4,4,small,med,acc
696,med,3,more,med,low,unacc
1547,med,3,2,big,high,unacc
996,high,2,more,big,low,unacc
153,high,3,more,small,low,unacc
1099,med,2,more,small,med,unacc
1489,high,5more,2,med,med,unacc
1725,low,5more,more,big,low,unacc
789,low,3,2,big,low,unacc
580,high,3,4,med,med,unacc
703,med,4,2,small,med,unacc
1212,low,2,more,big,low,unacc
1442,high,3,4,small,high,acc
1260,low,4,more,small,low,unacc
487,vhigh,4,2,small,med,unacc
559,high,2,more,small,med,unacc
1141,med,4,2,big,med,unacc
1119,med,3,4,med,low,unacc
801,low,3,more,small,low,unacc
512,vhigh,4,more,big,high,unacc
633,high,5more,4,med,low,unacc
1627,low,2,2,big,med,unacc
1543,med,3,2,med,med,unacc
1150,med,4,4,big,med,acc
790,low,3,2,big,med,unacc
116,high,2,2,big,high,unacc
740,med,5more,4,small,high,acc
1081,med,2,2,small,med,unacc
830,low,4,more,small,high,acc
119,high,2,4,small,high,unacc
656,med,2,2,big,high,unacc
1641,low,2,more,med,low,unacc
635,high,5more,4,med,high,acc
369,low,3,more,small,low,unacc
268,med,3,more,big,med,acc
655,med,2,2,big,med,unacc
935,vhigh,4,4,big,high,acc
822,low,4,4,med,low,unacc
866,vhigh,2,2,small,high,unacc
46,vhigh,3,more,small,med,unacc
1603,med,5more,4,small,med,acc
991,high,2,more,small,med,unacc
876,vhigh,2,4,med,low,unacc
773,low,2,4,big,high,acc
1219,low,3,2,med,med,unacc
1727,low,5more,more,big,high,vgood
4,vhigh,2,2,med,med,unacc
1003,high,3,2,med,med,unacc
1492,high,5more,2,big,med,unacc
263,med,3,more,small,high,acc
1358,vhigh,4,2,big,high,unacc
1578,med,4,4,med,low,unacc
443,vhigh,2,4,small,high,unacc
1002,high,3,2,med,low,unacc
1077,high,5more,more,big,low,unacc
837,low,5more,2,small,low,unacc
1545,med,3,2,big,low,unacc
304,med,5more,2,big,med,unacc
1350,vhigh,4,2,small,low,unacc
313,med,5more,4,big,med,acc
149,high,3,4,med,high,unacc
1148,med,4,4,med,high,vgood
1213,low,2,more,big,med,good
574,high,3,2,big,med,unacc
50,vhigh,3,more,med,high,unacc
1342,vhigh,3,more,small,med,unacc
726,med,4,more,big,low,unacc
833,low,4,more,med,high,acc
1115,med,3,2,big,high,unacc
1166,med,5more,2,med,high,unacc
470,vhigh,3,4,small,high,unacc
971,vhigh,5more,more,big,high,acc
653,med,2,2,med,high,unacc
399,low,4,more,med,low,unacc
511,vhigh,4,more,big,med,unacc
320,med,5more,more,med,high,acc
19,vhigh,2,more,small,med,unacc
684,med,3,4,small,low,unacc
35,vhigh,3,2,big,high,unacc
902,vhigh,3,4,small,high,acc
827,low,4,4,big,high,acc
1550,med,3,4,small,high,good
407,low,5more,2,small,high,unacc
920,vhigh,4,2,small,high,unacc
537,vhigh,5more,more,big,low,unacc
758,low,2,2,small,high,unacc
1062,high,5more,4,small,low,unacc
1199,low,2,4,small,high,good
245,med,3,2,small,high,unacc
1127,med,3,more,small,high,acc
784,low,3,2,small,med,unacc
489,vhigh,4,2,med,low,unacc
154,high,3,more,small,med,unacc
961,vhigh,5more,4,big,med,acc
853,low,5more,4,big,med,acc
1311,vhigh,2,4,big,low,unacc
625,high,5more,2,med,med,unacc
685,med,3,4,small,med,unacc
569,high,3,2,small,high,unacc
1642,low,2,more,med,med,acc
17,vhigh,2,4,big,high,unacc
127,high,2,more,small,med,unacc
1346,vhigh,3,more,med,high,acc
1279,low,5more,4,small,med,acc
1697,low,4,more,med,high,vgood
927,vhigh,4,4,small,low,unacc
980,high,2,2,big,high,unacc
1693,low,4,more,small,med,acc
190,high,5more,2,small,med,unacc
1139,med,4,2,med,high,unacc
992,high,2,more,small,high,unacc
1708,low,5more,2,big,med,unacc
1433,high,3,2,small,high,unacc
606,high,4,4,med,low,unacc
180,high,4,more,small,low,unacc
301,med,5more,2,med,med,unacc
496,vhigh,4,4,small,med,unacc
1480,high,4,more,med,med,acc
1653,low,3,2,big,low,unacc
1418,high,2,4,med,high,acc
517,vhigh,5more,2,med,med,unacc
1069,high,5more,4,big,med,acc
476,vhigh,3,4,big,high,unacc
157,high,3,more,med,med,unacc
1243,low,4,2,small,med,unacc
1195,low,2,2,big,med,unacc
16,vhigh,2,4,big,med,unacc
1072,high,5more,more,small,med,unacc
1700,low,4,more,big,high,vgood
546,high,2,2,big,low,unacc
658,med,2,4,small,med,unacc
1406,high,2,2,small,high,unacc
1019,high,3,more,small,high,acc
1490,high,5more,2,med,high,unacc
959,vhigh,5more,4,med,high,acc
1622,low,2,2,small,high,unacc
283,med,4,4,med,med,acc
797,low,3,4,med,high,acc
1407,high,2,2,med,low,unacc
225,med,2,4,small,low,unacc
26,vhigh,2,more,big,high,unacc
1537,med,2,more,big,med,good
437,vhigh,2,2,med,high,unacc
1679,low,4,2,med,high,unacc
1388,vhigh,5more,4,small,high,acc
229,med,2,4,med,med,unacc
37,vhigh,3,4,small,med,unacc
749,med,5more,more,small,high,acc
1045,high,4,more,small,med,unacc
469,vhigh,3,4,small,med,unacc
1465,high,4,2,big,med,unacc
1696,low,4,more,med,med,good
687,med,3,4,med,low,unacc
1588,med,4,more,med,med,good
639,high,5more,more,small,low,unacc
1483,high,4,more,big,med,acc
1218,low,3,2,med,low,unacc
1158,med,4,more,big,low,unacc
1432,high,3,2,small,med,unacc
1300,vhigh,2,2,med,med,unacc
1571,med,4,2,med,high,unacc
800,low,3,4,big,high,acc
160,high,3,more,big,med,unacc
956,vhigh,5more,4,small,high,acc
1186,med,5more,more,big,med,acc
821,low,4,4,small,high,acc
1456,high,3,more,big,med,acc
877,vhigh,2,4,med,med,unacc
913,vhigh,3,more,med,med,acc
152,high,3,4,big,high,unacc
1583,med,4,4,big,high,vgood
509,vhigh,4,more,med,high,unacc
1135,med,4,2,small,med,unacc
1250,low,4,2,big,high,unacc
1440,high,3,4,small,low,unacc
103,vhigh,5more,more,med,med,unacc
586,high,3,more,small,med,unacc
1527,med,2,4,big,low,unacc
1143,med,4,4,small,low,unacc
53,vhigh,3,more,big,high,unacc
151,high,3,4,big,med,unacc
403,low,4,more,big,med,acc
1674,low,4,2,small,low,unacc
207,high,5more,more,small,low,unacc
1631,low,2,4,small,high,good
1122,med,3,4,big,low,unacc
1512,med,2,2,small,low,unacc
8,vhigh,2,2,big,high,unacc
1014,high,3,4,big,low,unacc
1549,med,3,4,small,med,acc
1060,high,5more,2,big,med,unacc
452,vhigh,2,more,small,high,unacc
253,med,3,4,small,med,unacc
1327,vhigh,3,2,med,med,unacc
896,vhigh,3,2,med,high,unacc
1640,low,2,more,small,high,unacc
880,vhigh,2,4,big,med,acc
1626,low,2,2,big,low,unacc
623,high,5more,2,small,high,unacc
345,low,2,more,med,low,unacc
1475,high,4,4,big,high,vgood
262,med,3,more,small,med,unacc
1321,vhigh,2,more,big,med,acc
1438,high,3,2,big,med,unacc
150,high,3,4,big,low,unacc
472,vhigh,3,4,med,med,unacc
640,high,5more,more,small,med,unacc
1711,low,5more,4,small,med,acc
1623,low,2,2,med,low,unacc
550,high,2,4,small,med,unacc
928,vhigh,4,4,small,med,unacc
488,vhigh,4,2,small,high,unacc
1563,med,3,more,big,low,unacc
1171,med,5more,4,small,med,acc
146,high,3,4,small,high,unacc
1661,low,3,4,med,high,good
402,low,4,more,big,low,unacc
954,vhigh,5more,4,small,low,unacc
1618,med,5more,more,big,med,good
659,med,2,4,small,high,acc
1372,vhigh,4,more,med,med,acc
463,vhigh,3,2,med,med,unacc
1349,vhigh,3,more,big,high,acc
186,high,4,more,big,low,unacc
1147,med,4,4,med,med,acc
1224,low,3,4,small,low,unacc
608,high,4,4,med,high,acc
143,high,3,2,big,high,unacc
751,med,5more,more,med,med,acc
981,high,2,4,small,low,unacc
197,high,5more,2,big,high,unacc
883,vhigh,2,more,small,med,unacc
279,med,4,4,small,low,unacc
293,med,4,more,med,high,acc
1572,med,4,2,big,low,unacc
400,low,4,more,med,med,acc
122,high,2,4,med,high,unacc
1207,low,2,more,small,med,unacc
202,high,5more,4,med,med,unacc
1462,high,4,2,med,med,unacc
835,low,4,more,big,med,acc
246,med,3,2,med,low,unacc
1439,high,3,2,big,high,unacc
1637,low,2,4,big,high,vgood
1621,low,2,2,small,med,unacc
1153,med,4,more,small,med,acc
1426,high,2,more,med,med,acc
384,low,4,2,big,low,unacc
1518,med,2,2,big,low,unacc
854,low,5more,4,big,high,acc
219,med,2,2,med,low,unacc
641,high,5more,more,small,high,acc
1,vhigh,2,2,small,med,unacc
112,high,2,2,med,med,unacc
698,med,3,more,med,high,acc
1648,low,3,2,small,med,unacc
951,vhigh,5more,2,big,low,unacc
1511,high,5more,more,big,high,vgood
1410,high,2,2,big,low,unacc
1409,high,2,2,med,high,unacc
1291,low,5more,more,med,med,good
1560,med,3,more,med,low,unacc
441,vhigh,2,4,small,low,unacc
1136,med,4,2,small,high,unacc
1256,low,4,4,med,high,vgood
1606,med,5more,4,med,med,good
1397,vhigh,5more,more,small,high,acc
663,med,2,4,big,low,unacc
1582,med,4,4,big,med,good
1257,low,4,4,big,low,unacc
1532,med,2,more,small,high,unacc
317,med,5more,more,small,high,acc
648,med,2,2,small,low,unacc
1434,high,3,2,med,low,unacc
1479,high,4,more,med,low,unacc
709,med,4,2,big,med,unacc
1382,vhigh,5more,2,med,high,unacc
1282,low,5more,4,med,med,good
972,high,2,2,small,low,unacc
627,high,5more,2,big,low,unacc
632,high,5more,4,small,high,acc
1306,vhigh,2,4,small,med,unacc
1400,vhigh,5more,more,med,high,acc
1408,high,2,2,med,med,unacc
1248,low,4,2,big,low,unacc
1683,low,4,4,small,low,unacc
1254,low,4,4,med,low,unacc
1496,high,5more,4,small,high,acc
1371,vhigh,4,more,med,low,unacc
1529,med,2,4,big,high,vgood
1354,vhigh,4,2,med,med,unacc
1658,low,3,4,small,high,good
1593,med,5more,2,small,low,unacc
795,low,3,4,med,low,unacc
645,high,5more,more,big,low,unacc
1012,high,3,4,med,med,unacc
556,high,2,4,big,med,acc
681,med,3,2,big,low,unacc
577,high,3,4,small,med,unacc
1109,med,3,2,small,high,unacc
1266,low,4,more,big,low,unacc
1183,med,5more,more,med,med,acc
524,vhigh,5more,4,small,high,unacc
1059,high,5more,2,big,low,unacc
540,high,2,2,small,low,unacc
1194,low,2,2,big,low,unacc
748,med,5more,more,small,med,unacc
1596,med,5more,2,med,low,unacc
1430,high,2,more,big,high,vgood
484,vhigh,3,more,big,med,unacc
95,vhigh,5more,4,med,high,unacc
1020,high,3,more,med,low,unacc
563,high,2,more,med,high,acc
1264,low,4,more,med,med,good
742,med,5more,4,med,med,acc
863,low,5more,more,big,high,acc
1484,high,4,more,big,high,vgood
891,vhigh,3,2,small,low,unacc
1038,high,4,4,med,low,unacc
206,high,5more,4,big,high,unacc
392,low,4,4,med,high,acc
794,low,3,4,small,high,acc
870,vhigh,2,2,big,low,unacc
397,low,4,more,small,med,unacc
766,low,2,4,small,med,unacc
1586,med,4,more,small,high,good
1241,low,3,more,big,high,vgood
1028,high,4,2,small,high,unacc
642,high,5more,more,med,low,unacc
1628,low,2,2,big,high,unacc
612,high,4,more,small,low,unacc
960,vhigh,5more,4,big,low,unacc
1570,med,4,2,med,med,unacc
725,med,4,more,med,high,acc
683,med,3,2,big,high,unacc
98,vhigh,5more,4,big,high,unacc
804,low,3,more,med,low,unacc
406,low,5more,2,small,med,unacc
502,vhigh,4,4,big,med,unacc
1071,high,5more,more,small,low,unacc
1056,high,5more,2,med,low,unacc
929,vhigh,4,4,small,high,acc
779,low,2,more,med,high,acc
200,high,5more,4,small,high,unacc
134,high,2,more,big,high,unacc
1051,high,4,more,big,med,acc
40,vhigh,3,4,med,med,unacc
1017,high,3,more,small,low,unacc
230,med,2,4,med,high,acc
1513,med,2,2,small,med,unacc
378,low,4,2,small,low,unacc
288,med,4,more,small,low,unacc
418,low,5more,4,med,med,acc
391,low,4,4,med,med,acc
592,high,3,more,big,med,acc
1522,med,2,4,small,med,acc
1162,med,5more,2,small,med,unacc
1086,med,2,2,big,low,unacc
1495,high,5more,4,small,med,acc
647,high,5more,more,big,high,acc
1152,med,4,more,small,low,unacc
1367,vhigh,4,4,big,high,acc
520,vhigh,5more,2,big,med,unacc
64,vhigh,4,4,small,med,unacc
14,vhigh,2,4,med,high,unacc
1180,med,5more,more,small,med,acc
1064,high,5more,4,small,high,acc
492,vhigh,4,2,big,low,unacc
379,low,4,2,small,med,unacc
187,high,4,more,big,med,unacc
763,low,2,2,big,med,unacc
216,med,2,2,small,low,unacc
791,low,3,2,big,high,unacc
1076,high,5more,more,med,high,acc
878,vhigh,2,4,med,high,acc
337,low,2,4,med,med,unacc
719,med,4,4,big,high,acc
295,med,4,more,big,med,acc
1016,high,3,4,big,high,acc
1275,low,5more,2,big,low,unacc
1485,high,5more,2,small,low,unacc
455,vhigh,2,more,med,high,unacc
1724,low,5more,more,med,high,vgood
815,low,4,2,med,high,unacc
269,med,3,more,big,high,acc
995,high,2,more,med,high,acc
201,high,5more,4,med,low,unacc
161,high,3,more,big,high,unacc
1579,med,4,4,med,med,good
729,med,5more,2,small,low,unacc
401,low,4,more,med,high,acc
702,med,4,2,small,low,unacc
1500,high,5more,4,big,low,unacc
1129,med,3,more,med,med,acc
565,high,2,more,big,med,acc
1413,high,2,4,small,low,unacc
1021,high,3,more,med,med,acc
1025,high,3,more,big,high,acc
1411,high,2,2,big,med,unacc
1585,med,4,more,small,med,acc
1104,med,2,more,big,low,unacc
205,high,5more,4,big,med,unacc
34,vhigh,3,2,big,med,unacc
775,low,2,more,small,med,unacc
508,vhigh,4,more,med,med,unacc
1451,high,3,more,small,high,acc
1478,high,4,more,small,high,acc
1699,low,4,more,big,med,good
1390,vhigh,5more,4,med,med,acc
91,vhigh,5more,4,small,med,unacc
1363,vhigh,4,4,med,med,acc
897,vhigh,3,2,big,low,unacc
564,high,2,more,big,low,unacc
1369,vhigh,4,more,small,med,unacc
776,low,2,more,small,high,unacc
241,med,2,more,big,med,acc
13,vhigh,2,4,med,med,unacc
315,med,5more,more,small,low,unacc
600,high,4,2,big,low,unacc
387,low,4,4,small,low,unacc
1297,vhigh,2,2,small,med,unacc
166,high,4,2,med,med,unacc
840,low,5more,2,med,low,unacc
20,vhigh,2,more,small,high,unacc
646,high,5more,more,big,med,acc
1508,high,5more,more,med,high,vgood
1154,med,4,more,small,high,acc
1528,med,2,4,big,med,good
831,low,4,more,med,low,unacc
1267,low,4,more,big,med,good
1590,med,4,more,big,low,unacc
562,high,2,more,med,med,unacc
1682,low,4,2,big,high,unacc
686,med,3,4,small,high,acc
957,vhigh,5more,4,med,low,unacc
189,high,5more,2,small,low,unacc
975,high,2,2,med,low,unacc
699,med,3,more,big,low,unacc
1499,high,5more,4,med,high,vgood
510,vhigh,4,more,big,low,unacc
1082,med,2,2,small,high,unacc
474,vhigh,3,4,big,low,unacc
1584,med,4,more,small,low,unacc
856,low,5more,more,small,med,unacc
747,med,5more,more,small,low,unacc
252,med,3,4,small,low,unacc
21,vhigh,2,more,med,low,unacc
1337,vhigh,3,4,med,high,acc
459,vhigh,3,2,small,low,unacc
1184,med,5more,more,med,high,vgood
276,med,4,2,big,low,unacc
955,vhigh,5more,4,small,med,unacc
1215,low,3,2,small,low,unacc
385,low,4,2,big,med,unacc
805,low,3,more,med,med,acc
1437,high,3,2,big,low,unacc
1515,med,2,2,med,low,unacc
343,low,2,more,small,med,unacc
769,low,2,4,med,med,unacc
1332,vhigh,3,4,small,low,unacc
1685,low,4,4,small,high,good
130,high,2,more,med,med,unacc
1687,low,4,4,med,med,good
871,vhigh,2,2,big,med,unacc
1123,med,3,4,big,med,acc
1396,vhigh,5more,more,small,med,unacc
87,vhigh,5more,2,big,low,unacc
1482,high,4,more,big,low,unacc
330,low,2,2,big,low,unacc
1238,low,3,more,med,high,vgood
466,vhigh,3,2,big,med,unacc
121,high,2,4,med,med,unacc
1638,low,2,more,small,low,unacc
1044,high,4,more,small,low,unacc
1095,med,2,4,big,low,unacc
1130,med,3,more,med,high,vgood
1294,low,5more,more,big,med,good
860,low,5more,more,med,high,acc
1459,high,4,2,small,med,unacc
1126,med,3,more,small,med,acc
